2026-09-03 09:30:00.290161 | admin | Confidential Security Report | GRANTED
2026-09-03 09:31:06.778036 | student | Confidential Security Report | DENIED
2026-09-03 10:08:52.945083 | Attempt: 1 | admin | Confidential Security Report | GRANTED
2026-09-03 10:12:15.337128 | Attempt: 1 | admin | Confidential Security Report | GRANTED
2026-09-03 10:14:50.689081 | Attempt: 1 | admin | Confidential Security Report | GRANTED
2026-09-03 10:15:26.112883 | Attempt: 2 | admin | Confidential Security Report | GRANTED
2026-09-03 10:15:29.209017 | Attempt: 3 | admin | Confidential Security Report | GRANTED
2026-09-03 10:16:53.976706 | Attempt: 1 | ahmed | Confidential Security Report | DENIED
2026-09-03 10:16:56.408786 | Attempt: 2 | ahmed | Confidential Security Report | DENIED
2026-09-03 10:16:58.032960 | Attempt: 3 | ahmed | Confidential Security Report | DENIED
2026-09-03 10:20:50.240829 | Attempt: 1 | student | Confidential Security Report | DENIED


2026-09-03 10:27:59.096614 | Attempt: 1 | admin | Confidential Security Report | GRANTED
2026-09-03 10:28:21.264697 | Attempt: 1 | ahmed | Confidential Security Report | DENIED
2026-09-03 10:28:57.760644 | Attempt: 2 | student | Confidential Security Report | DENIED
2026-09-03 10:29:29.520609 | Attempt: 3 | admin | Confidential Security Report | GRANTED
2026-09-03 10:43:55.000393 | Attempt: 1 | admin | Confidential Security Report | GRANTED
2026-09-03 10:44:17.872465 | Attempt: 1 | admin | Confidential Security Report | DENIED
2026-09-03 10:47:18.120284 | Attempt: 2 | admin | Confidential Security Report | DENIED
2026-09-03 10:47:20.496302 | Attempt: 3 | clar | Confidential Security Report | DENIED
2026-09-03 10:51:17.440172 | Attempt: 1 | admin | Confidential Security Report | GRANTED
2026-09-03 10:52:34.920205 | Attempt: 1 | student | Confidential Security Report | DENIED
2026-09-03 10:52:57.496140 | Attempt: 2 | student | Confidential Security Report | DENIED
2026-09-03 10:53:04.592131 | Attempt: 3 | student | Confidential Security Report | DENIED
2026-09-03 11:09:09.335669 | Attempt: 1 | student | Confidential Security Report | DENIED
2026-09-08 07:44:19.926398 | Attempt: 1 | user | Confidential Security Report | DENIED
2026-09-08 07:44:23.366623 | Attempt: 2 | user | Confidential Security Report | DENIED
2026-09-08 07:44:25.758270 | Attempt: 3 | user | Confidential Security Report | DENIED
2026-09-08 07:54:29.109839 | Attempt: 1 | admin | Confidential Security Report | GRANTED
2026-09-08 07:57:21.477672 | Attempt: 1 | analyst | Confidential Security Report | GRANTED
2026-09-08 20:03:25.901178 | Attempt: 1 | student | Public Security Report | GRANTED
2026-09-08 20:06:18.901006 | Attempt: 1 | student | Confidential Security Report | DENIED
2026-09-08 20:06:42.452837 | Attempt: 2 | admin | Confidential Security Report | GRANTED
2026-09-10 17:26:34.497396 | Attempt: 1 | admin | Confidential Security Report | DENIED
2026-09-10 17:27:05.769017 | Attempt: 2 | admin | Confidential Security Report | DENIED
2026-09-10 17:27:10.465184 | Attempt: 3 | admin | Confidential Security Report | DENIED
2026-09-10 17:28:25.352847 | Attempt: 1 | admin | Confidential Security Report | GRANTED
2026-09-10 17:30:02.440691 | Attempt: 1 | student | Confidential Security Report | DENIED
2026-09-10 17:30:09.416463 | Attempt: 2 | student | Confidential Security Report | DENIED
2026-09-10 17:30:14.232365 | Attempt: 3 | student | Confidential Security Report | DENIED
2026-09-10 17:32:01.672285 | Attempt: 1 | student | Confidential Security Report | DENIED
2026-09-10 17:32:07.512196 | Attempt: 2 | student | Confidential Security Report | DENIED
